,product-id,base-url,date,clouds
228,S2B_MSIL1C_20210706T141739_N0301_R010_T20JLL_20210706T174224.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20210706T141739_N0301_R010_T20JLL_20210706T174224.SAFE,2021-07-06,6.6188
229,S2A_MSIL1C_20210711T141741_N0301_R010_T20JLL_20210711T173946.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20210711T141741_N0301_R010_T20JLL_20210711T173946.SAFE,2021-07-11,40.391
230,S2B_MSIL1C_20210716T141739_N0301_R010_T20JLL_20210716T174350.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20210716T141739_N0301_R010_T20JLL_20210716T174350.SAFE,2021-07-16,7.5452
231,S2A_MSIL1C_20210721T141741_N0301_R010_T20JLL_20210721T192415.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20210721T141741_N0301_R010_T20JLL_20210721T192415.SAFE,2021-07-21,55.4293
232,S2B_MSIL1C_20210726T141739_N0301_R010_T20JLL_20210726T182731.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20210726T141739_N0301_R010_T20JLL_20210726T182731.SAFE,2021-07-26,0.7156
233,S2A_MSIL1C_20210731T141741_N0301_R010_T20JLL_20210731T174424.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20210731T141741_N0301_R010_T20JLL_20210731T174424.SAFE,2021-07-31,0.0
234,S2B_MSIL1C_20210805T141739_N0301_R010_T20JLL_20210805T174126.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20210805T141739_N0301_R010_T20JLL_20210805T174126.SAFE,2021-08-05,0.0
235,S2A_MSIL1C_20210810T141741_N0301_R010_T20JLL_20210810T173933.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20210810T141741_N0301_R010_T20JLL_20210810T173933.SAFE,2021-08-10,0.0
236,S2B_MSIL1C_20210815T141739_N0301_R010_T20JLL_20210815T174023.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20210815T141739_N0301_R010_T20JLL_20210815T174023.SAFE,2021-08-15,44.8545
237,S2B_MSIL1C_20210825T141739_N0301_R010_T20JLL_20210825T174914.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20210825T141739_N0301_R010_T20JLL_20210825T174914.SAFE,2021-08-25,24.0125
238,S2A_MSIL1C_20210830T141741_N0301_R010_T20JLL_20210830T173958.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20210830T141741_N0301_R010_T20JLL_20210830T173958.SAFE,2021-08-30,8.2102
239,S2A_MSIL1C_20210909T141741_N0301_R010_T20JLL_20210909T174052.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20210909T141741_N0301_R010_T20JLL_20210909T174052.SAFE,2021-09-09,0.0094
240,S2B_MSIL1C_20210914T141729_N0301_R010_T20JLL_20210914T174654.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20210914T141729_N0301_R010_T20JLL_20210914T174654.SAFE,2021-09-14,42.4379
241,S2A_MSIL1C_20210919T141741_N0301_R010_T20JLL_20210919T192515.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20210919T141741_N0301_R010_T20JLL_20210919T192515.SAFE,2021-09-19,17.4143
242,S2B_MSIL1C_20210924T141739_N0301_R010_T20JLL_20210924T174645.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20210924T141739_N0301_R010_T20JLL_20210924T174645.SAFE,2021-09-24,0.0
243,S2A_MSIL1C_20210929T141741_N0301_R010_T20JLL_20210929T174634.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20210929T141741_N0301_R010_T20JLL_20210929T174634.SAFE,2021-09-29,16.3988
244,S2B_MSIL1C_20211004T141739_N0301_R010_T20JLL_20211004T174440.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20211004T141739_N0301_R010_T20JLL_20211004T174440.SAFE,2021-10-04,0.0
245,S2A_MSIL1C_20211009T141741_N0301_R010_T20JLL_20211009T174410.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20211009T141741_N0301_R010_T20JLL_20211009T174410.SAFE,2021-10-09,23.6189
246,S2B_MSIL1C_20211014T141739_N0301_R010_T20JLL_20211014T175015.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20211014T141739_N0301_R010_T20JLL_20211014T175015.SAFE,2021-10-14,0.0163
247,S2A_MSIL1C_20211019T141741_N0301_R010_T20JLL_20211019T192649.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20211019T141741_N0301_R010_T20JLL_20211019T192649.SAFE,2021-10-19,0.0
248,S2B_MSIL1C_20211024T141739_N0301_R010_T20JLL_20211024T175006.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20211024T141739_N0301_R010_T20JLL_20211024T175006.SAFE,2021-10-24,0.0
249,S2A_MSIL1C_20211029T141741_N0301_R010_T20JLL_20211029T174320.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20211029T141741_N0301_R010_T20JLL_20211029T174320.SAFE,2021-10-29,40.7978
250,S2B_MSIL1C_20211103T141739_N0301_R010_T20JLL_20211103T174525.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20211103T141739_N0301_R010_T20JLL_20211103T174525.SAFE,2021-11-03,3.4124
251,S2B_MSIL1C_20211113T141739_N0301_R010_T20JLL_20211113T174207.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20211113T141739_N0301_R010_T20JLL_20211113T174207.SAFE,2021-11-13,26.1806
252,S2A_MSIL1C_20211118T141741_N0301_R010_T20JLL_20211118T174114.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20211118T141741_N0301_R010_T20JLL_20211118T174114.SAFE,2021-11-18,0.0
253,S2B_MSIL1C_20211123T141729_N0301_R010_T20JLL_20211123T171857.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20211123T141729_N0301_R010_T20JLL_20211123T171857.SAFE,2021-11-23,4.7152
254,S2A_MSIL1C_20211128T141741_N0301_R010_T20JLL_20211128T174312.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20211128T141741_N0301_R010_T20JLL_20211128T174312.SAFE,2021-11-28,2.523
255,S2B_MSIL1C_20211203T141729_N0301_R010_T20JLL_20211203T174302.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20211203T141729_N0301_R010_T20JLL_20211203T174302.SAFE,2021-12-03,36.3374
256,S2A_MSIL1C_20211208T141731_N0301_R010_T20JLL_20211208T174353.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20211208T141731_N0301_R010_T20JLL_20211208T174353.SAFE,2021-12-08,39.4348
257,S2A_MSIL1C_20211218T141741_N0301_R010_T20JLL_20211218T174420.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20211218T141741_N0301_R010_T20JLL_20211218T174420.SAFE,2021-12-18,0.0083
258,S2B_MSIL1C_20211223T141729_N0301_R010_T20JLL_20211223T174543.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20211223T141729_N0301_R010_T20JLL_20211223T174543.SAFE,2021-12-23,7.3187999999999995
