clouds_on_shape,raster
45.62749645452372,S2B_MSIL1C_20211203T141729_N0301_R010_T20JLL_20211203T174302_cba.TIF
89.00624414078435,S2B_MSIL1C_20171124T142029_N0206_R010_T20JLL_20171124T192400_cba.TIF
37.477434141515594,S2A_MSIL1C_20210919T141741_N0301_R010_T20JLL_20210919T192515_cba.TIF
0.0,S2B_MSIL1C_20190826T142039_N0208_R010_T20JLL_20190826T191521_cba.TIF
0.0,S2A_MSIL1C_20210711T141741_N0301_R010_T20JLL_20210711T173946_cba.TIF
99.12827554328346,S2A_MSIL1C_20191010T141741_N0208_R010_T20JLL_20191010T174125_cba.TIF
0.3315844352612551,S2A_MSIL1C_20191119T141741_N0208_R010_T20JLL_20191119T173848_cba.TIF
99.95830140956268,S2B_MSIL1C_20220122T141729_N0301_R010_T20JLL_20220122T172738_cba.TIF
36.67181987962683,S2B_MSIL1C_20181109T142039_N0207_R010_T20JLL_20181109T193659_cba.TIF
0.0,S2A_MSIL1C_20191129T141731_N0208_R010_T20JLL_20191129T173806_cba.TIF
0.0,S2A_MSIL1C_20200527T141741_N0209_R010_T20JLL_20200527T191839_cba.TIF
100.0,S2A_MSIL1C_20190304T142031_N0207_R010_T20JLL_20190304T174117_cba.TIF
29.80592696217078,S2A_MSIL1C_20180428T142041_N0206_R010_T20JLL_20180428T174250_cba.TIF
0.0,S2A_MSIL1C_20201223T141731_N0209_R010_T20JLL_20201223T175035_cba.TIF
0.0,S2B_MSIL1C_20181010T142039_N0206_R010_T20JLL_20181010T193957_cba.TIF
0.0,S2B_MSIL1C_20220402T141729_N0400_R010_T20JLL_20220402T175126_cba.TIF
0.0,S2B_MSIL1C_20200212T141649_N0209_R010_T20JLL_20200212T174151_cba.TIF
16.104737839881484,S2B_MSIL1C_20200422T141729_N0209_R010_T20JLL_20200422T192005_cba.TIF
0.0,S2B_MSIL1C_20191005T142039_N0208_R010_T20JLL_20191005T160433_cba.TIF
25.60345125907665,S2B_MSIL1C_20210127T141739_N0209_R010_T20JLL_20210127T175528_cba.TIF
0.18602300202605354,S2A_MSIL1C_20220206T141741_N0400_R010_T20JLL_20220206T192656_cba.TIF
0.0,S2B_MSIL1C_20180523T142039_N0206_R010_T20JLL_20180523T192205_cba.TIF
10.079925691013601,S2B_MSIL1C_20210914T141729_N0301_R010_T20JLL_20210914T174654_cba.TIF
0.0,S2A_MSIL1C_20210909T141741_N0301_R010_T20JLL_20210909T174052_cba.TIF
29.37835591054423,S2A_MSIL1C_20171109T142041_N0206_R010_T20JLL_20171109T160349_cba.TIF
3.5617298072266177,S2B_MSIL1C_20191114T141739_N0208_R010_T20JLL_20191114T173935_cba.TIF
3.044012760426331,S2A_MSIL1C_20200308T141731_N0209_R010_T20JLL_20200308T174034_cba.TIF
